NAME,Rarity Sum
Protardio #619,258.6
Protardio #748,258.6
Protardio #495,258.79999999999995
Protardio #195,258.9
Protardio #951,259.1
Protardio #745,259.40000000000003
Protardio #717,259.7
Protardio #419,260.6
Protardio #58,260.70000000000005
Protardio #904,260.70000000000005
Protardio #174,261.7
Protardio #608,262.1
Protardio #615,262.2
Protardio #314,262.6
Protardio #56,262.69999999999993
Protardio #157,262.90000000000003
Protardio #27,264.20000000000005
Protardio #292,264.9
Protardio #747,265.5
Protardio #849,265.6
Protardio #225,266.7
Protardio #994,268.6
Protardio #898,270.3
Protardio #571,270.6
Protardio #145,271.5
Protardio #979,271.6
Protardio #274,272
Protardio #764,272.3
Protardio #695,272.4
Protardio #586,272.4
Protardio #740,272.5
Protardio #14,273.9
Protardio #976,274.5
Protardio #635,274.6
Protardio #228,274.9
Protardio #534,274.9
Protardio #956,275.3
Protardio #446,275.3
Protardio #583,275.70000000000005
Protardio #486,275.70000000000005
Protardio #121,275.8
Protardio #816,275.9
Protardio #514,276.5
Protardio #413,277
Protardio #334,277.3
Protardio #217,277.59999999999997
Protardio #234,277.70000000000005
Protardio #199,277.9
Protardio #921,278.3
Protardio #189,278.30000000000007
Protardio #564,278.79999999999995
Protardio #328,279
Protardio #594,279.1
Protardio #298,279.2
Protardio #703,279.5
Protardio #154,279.7
Protardio #257,279.8
Protardio #946,279.9
Protardio #570,280.6
Protardio #83,281.3
Protardio #166,281.6
Protardio #792,282.29999999999995
Protardio #252,282.5
Protardio #636,282.70000000000005
Protardio #555,282.9
Protardio #184,283.40000000000003
Protardio #417,283.5
Protardio #513,283.6
Protardio #558,283.6
Protardio #569,283.9
Protardio #960,284.09999999999997
Protardio #102,284.1
Protardio #87,284.19999999999993
Protardio #977,284.2
Protardio #12,284.29999999999995
Protardio #933,284.29999999999995
Protardio #627,284.3
Protardio #727,284.3
Protardio #563,284.4
Protardio #542,284.4
Protardio #444,284.5
Protardio #875,284.5
Protardio #316,284.5
Protardio #728,284.5
Protardio #738,284.6
Protardio #539,284.6000000000001
Protardio #85,284.69999999999993
Protardio #169,284.79999999999995
Protardio #806,284.8
Protardio #640,284.9
Protardio #817,284.9
Protardio #236,285
Protardio #203,285
Protardio #891,285
Protardio #491,285
Protardio #134,285.19999999999993
Protardio #567,285.20000000000005
Protardio #323,285.29999999999995
Protardio #325,285.30000000000007
Protardio #123,285.4
Protardio #969,285.5
Protardio #352,285.6
Protardio #43,285.7
Protardio #991,285.7
Protardio #468,285.70000000000005
Protardio #537,285.8
Protardio #788,285.80000000000007
Protardio #650,285.90000000000003
Protardio #146,286.00000000000006
Protardio #604,286.20000000000005
Protardio #879,286.20000000000005
Protardio #955,286.4
Protardio #131,286.40000000000003
Protardio #306,286.5
Protardio #507,286.5
Protardio #165,286.50000000000006
Protardio #801,286.70000000000005
Protardio #44,286.70000000000005
Protardio #572,286.9
Protardio #499,286.9
Protardio #535,286.90000000000003
Protardio #530,286.90000000000003
Protardio #176,287
Protardio #259,287
Protardio #335,287.1
Protardio #623,287.1
Protardio #854,287.19999999999993
Protardio #780,287.20000000000005
Protardio #469,287.40000000000003
Protardio #900,287.5
Protardio #697,287.5
Protardio #743,287.6
Protardio #51,287.6
Protardio #609,287.6
Protardio #308,287.6
Protardio #961,287.8
Protardio #210,287.80000000000007
Protardio #93,287.9
Protardio #141,287.9
Protardio #460,287.9
Protardio #307,288
Protardio #573,288
Protardio #902,288
Protardio #644,288
Protardio #302,288.09999999999997
Protardio #522,288.1
Protardio #813,288.20000000000005
Protardio #427,288.29999999999995
Protardio #109,288.29999999999995
Protardio #230,288.29999999999995
Protardio #371,288.3
Protardio #312,288.4
Protardio #82,288.4
Protardio #848,288.40000000000003
Protardio #408,288.5
Protardio #547,288.5
Protardio #386,288.6
Protardio #735,288.6000000000001
Protardio #135,288.7
Protardio #614,288.7
Protardio #485,288.70000000000005
Protardio #942,288.79999999999995
Protardio #889,288.8
Protardio #643,288.8
Protardio #480,289
Protardio #205,289.09999999999997
Protardio #125,289.1
Protardio #369,289.1
Protardio #114,289.2
Protardio #235,289.4
